State,City,Year,week,precip_sum,temp_mean,aqi_proxy_pm25
Gujarat,Gandhinagar,2025,52,0.0,20.52857142857143,28.861904761904764
Haryana,Chandigarh,2025,1,0.0,12.5125,81.28072916666666
Haryana,Chandigarh,2025,2,7.9,12.071428571428571,78.14226190476191
Haryana,Chandigarh,2025,3,0.7,12.614285714285714,69.49464285714286
Haryana,Chandigarh,2025,4,0.0,14.799999999999999,63.06369047619048
Haryana,Chandigarh,2025,5,0.0,15.085714285714285,75.34345238095239
Haryana,Chandigarh,2025,6,0.8999999999999999,15.057142857142859,55.24642857142857
Haryana,Chandigarh,2025,7,0.4,17.185714285714287,37.50833333333333
Haryana,Chandigarh,2025,8,13.6,17.6,41.975
Haryana,Chandigarh,2025,9,31.000000000000004,17.742857142857144,31.182738095238093
Haryana,Chandigarh,2025,10,2.2,17.814285714285713,26.810714285714283
Haryana,Chandigarh,2025,11,13.0,21.142857142857142,26.770238095238092
Haryana,Chandigarh,2025,12,0.0,21.385714285714283,20.588690476190475
Haryana,Chandigarh,2025,13,0.2,23.67142857142857,29.2125
Haryana,Chandigarh,2025,14,0.0,26.12857142857143,18.78988095238095
Haryana,Chandigarh,2025,15,5.6,27.62857142857143,31.196428571428573
Haryana,Chandigarh,2025,16,1.0,28.52857142857143,33.07797619047619
Haryana,Chandigarh,2025,17,0.0,30.857142857142858,20.84285714285714
Haryana,Chandigarh,2025,18,1.8,29.12857142857143,36.85357142857143
Haryana,Chandigarh,2025,19,6.3999999999999995,28.357142857142858,36.364285714285714
Haryana,Chandigarh,2025,20,0.1,31.857142857142858,28.998214285714283
Haryana,Chandigarh,2025,21,35.5,31.242857142857144,43.36190476190476
Haryana,Chandigarh,2025,22,6.0,31.228571428571428,46.74642857142857
Haryana,Chandigarh,2025,23,5.2,30.614285714285717,42.01488095238095
Haryana,Chandigarh,2025,24,4.300000000000001,35.25714285714286,55.794642857142854
Haryana,Chandigarh,2025,25,20.700000000000003,30.5,50.4422619047619
Haryana,Chandigarh,2025,26,106.5,29.571428571428573,29.566666666666666
Haryana,Chandigarh,2025,27,60.9,28.785714285714285,38.11904761904762
Haryana,Chandigarh,2025,28,27.1,28.071428571428573,45.01488095238095
Haryana,Chandigarh,2025,29,14.4,28.599999999999998,39.06547619047619
Haryana,Chandigarh,2025,30,25.200000000000003,28.685714285714287,50.589285714285715
Haryana,Chandigarh,2025,31,49.4,28.0,40.769642857142856
Haryana,Chandigarh,2025,32,73.9,27.599999999999998,61.66904761904762
Haryana,Chandigarh,2025,33,69.3,27.657142857142855,50.60357142857143
Haryana,Chandigarh,2025,34,19.9,27.685714285714287,37.05714285714286
Haryana,Chandigarh,2025,35,57.9,27.214285714285715,31.760119047619046
Haryana,Chandigarh,2025,36,109.9,25.87142857142857,29.054761904761904
Haryana,Chandigarh,2025,37,14.4,27.385714285714283,38.65
Haryana,Chandigarh,2025,38,30.8,26.857142857142858,43.56547619047619
Haryana,Chandigarh,2025,39,0.0,28.285714285714285,36.23392857142857
Haryana,Chandigarh,2025,40,0.8999999999999999,27.3,43.77619047619047
Haryana,Chandigarh,2025,41,45.6,21.67142857142857,25.682738095238093
